record_id,Amount,fraud_score,selected_threshold,decision,signal_features,local_signals
42009,112.33,0.9995305287189877,0.5,Review,"V14, V12, V17",V14=-8.226 (SHAP contribution +0.126); V12=-7.347 (SHAP contribution +0.074); V17=-8.816 (SHAP contribution +0.071)
44556,1.0,0.9995196036145033,0.5,Review,"V14, V10, V17",V14=-7.246 (SHAP contribution +0.129); V10=-5.700 (SHAP contribution +0.077); V17=-8.852 (SHAP contribution +0.070)
119781,124.53,0.9995179541387764,0.5,Review,"V14, V10, V12",V14=-7.495 (SHAP contribution +0.133); V10=-5.516 (SHAP contribution +0.079); V12=-7.128 (SHAP contribution +0.075)
143728,1.0,0.9995174795885426,0.5,Review,"V14, V10, V12",V14=-8.604 (SHAP contribution +0.130); V10=-6.213 (SHAP contribution +0.079); V12=-6.653 (SHAP contribution +0.074)
150665,209.65,0.9995135283852238,0.5,Review,"V14, V10, V12",V14=-11.030 (SHAP contribution +0.130); V10=-11.092 (SHAP contribution +0.076); V12=-17.150 (SHAP contribution +0.073)
150647,8.54,0.9995116788117155,0.5,Review,"V14, V10, V12",V14=-15.623 (SHAP contribution +0.131); V10=-11.235 (SHAP contribution +0.076); V12=-18.554 (SHAP contribution +0.075)
42769,118.3,0.9995101853162328,0.5,Review,"V14, V12, V10",V14=-13.695 (SHAP contribution +0.126); V12=-13.064 (SHAP contribution +0.078); V10=-12.806 (SHAP contribution +0.076)
150663,316.06,0.9995101853162328,0.5,Review,"V14, V10, V12",V14=-14.094 (SHAP contribution +0.131); V10=-13.321 (SHAP contribution +0.079); V12=-17.003 (SHAP contribution +0.076)
42756,0.0,0.9995067885060795,0.5,Review,"V14, V10, V12",V14=-13.779 (SHAP contribution +0.122); V10=-12.888 (SHAP contribution +0.080); V12=-13.212 (SHAP contribution +0.078)
42696,88.23,0.9995066644512515,0.5,Review,"V14, V12, V10",V14=-14.107 (SHAP contribution +0.129); V12=-13.743 (SHAP contribution +0.078); V10=-12.265 (SHAP contribution +0.076)
251904,94.82,0.9995061656332689,0.5,Review,"V14, V10, V12",V14=-8.560 (SHAP contribution +0.132); V10=-5.955 (SHAP contribution +0.078); V12=-5.517 (SHAP contribution +0.075)
42549,88.23,0.9995054009003814,0.5,Review,"V14, V10, V12",V14=-15.445 (SHAP contribution +0.131); V10=-11.436 (SHAP contribution +0.076); V12=-14.296 (SHAP contribution +0.075)
42528,340.11,0.9994993137852483,0.5,Review,"V14, V10, V12",V14=-13.602 (SHAP contribution +0.132); V10=-11.141 (SHAP contribution +0.075); V12=-14.469 (SHAP contribution +0.075)
16110,1.0,0.9994980195818186,0.5,Review,"V14, V10, V17",V14=-6.052 (SHAP contribution +0.124); V10=-8.098 (SHAP contribution +0.079); V17=-11.882 (SHAP contribution +0.072)
15476,99.99,0.9994980195818186,0.5,Review,"V14, V10, V12",V14=-8.078 (SHAP contribution +0.127); V10=-8.720 (SHAP contribution +0.078); V12=-7.741 (SHAP contribution +0.073)
15810,99.99,0.9994980195818186,0.5,Review,"V14, V10, V17",V14=-6.326 (SHAP contribution +0.126); V10=-8.234 (SHAP contribution +0.079); V17=-12.062 (SHAP contribution +0.073)
15539,99.99,0.9994980195818186,0.5,Review,"V14, V10, V12",V14=-7.578 (SHAP contribution +0.127); V10=-8.581 (SHAP contribution +0.078); V12=-7.394 (SHAP contribution +0.072)
14920,1.0,0.9994980195818186,0.5,Review,"V14, V10, V12",V14=-9.301 (SHAP contribution +0.125); V10=-9.017 (SHAP contribution +0.078); V12=-8.568 (SHAP contribution +0.073)
15225,99.99,0.9994980195818186,0.5,Review,"V14, V10, V12",V14=-8.579 (SHAP contribution +0.126); V10=-8.859 (SHAP contribution +0.078); V12=-8.088 (SHAP contribution +0.073)
142405,12.31,0.9994964845769361,0.5,Review,"V14, V10, V12",V14=-10.194 (SHAP contribution +0.130); V10=-8.746 (SHAP contribution +0.080); V12=-8.164 (SHAP contribution +0.077)
64411,99.99,0.9994918801482018,0.5,Review,"V14, V10, V17",V14=-6.778 (SHAP contribution +0.129); V10=-5.997 (SHAP contribution +0.080); V17=-6.858 (SHAP contribution +0.075)
151519,1.63,0.9994830049473244,0.5,Review,"V14, V12, V17",V14=-7.014 (SHAP contribution +0.108); V12=-13.812 (SHAP contribution +0.082); V17=-16.668 (SHAP contribution +0.079)
